Epoch 1 	 Training Loss: 150.1174774170
Validation Epoch: 56 	 Loss: 0.0009154753
Epoch 57 	 Training Loss: 0.0009087762
Validation Epoch: 57 	 Loss: 0.0009378743
Epoch 58 	 Training Loss: 0.0008978070
Validation Epoch: 58 	 Loss: 0.0008893492
Epoch 59 	 Training Loss: 0.0008908565
Validation Epoch: 59 	 Loss: 0.0008815628
Epoch 60 	 Training Loss: 0.0008770845
Validation Epoch: 60 	 Loss: 0.0008745031
Epoch 61 	 Training Loss: 0.0008555512
Validation Epoch: 61 	 Loss: 0.0008444656
Epoch 62 	 Training Loss: 0.0008409612
Validation Epoch: 62 	 Loss: 0.0008419429
Epoch 63 	 Training Loss: 0.0008175333
Validation Epoch: 63 	 Loss: 0.0008154739
Epoch 64 	 Training Loss: 0.0008148910
Validation Epoch: 64 	 Loss: 0.0008154130
Epoch 65 	 Training Loss: 0.0007979199
Validation Epoch: 65 	 Loss: 0.0007884726
Epoch 66 	 Training Loss: 0.0007895640
Validation Epoch: 66 	 Loss: 0.0008033180
Epoch 67 	 Training Loss: 0.0007718101
Validation Epoch: 67 	 Loss: 0.0007596455
Epoch 68 	 Training Loss: 0.0007663494
Validation Epoch: 68 	 Loss: 0.0007350646
Epoch 69 	 Training Loss: 0.0007474489
Validation Epoch: 69 	 Loss: 0.0007468706
Epoch 70 	 Training Loss: 0.0007612534
Validation Epoch: 70 	 Loss: 0.0007284661
Epoch 71 	 Training Loss: 0.0007366588
Validation Epoch: 71 	 Loss: 0.0007434845
Epoch 72 	 Training Loss: 0.0007137357
Validation Epoch: 72 	 Loss: 0.0007408066
Epoch 73 	 Training Loss: 0.0007249383
Validation Epoch: 73 	 Loss: 0.0007363659
Epoch 74 	 Training Loss: 0.0006811210
Validation Epoch: 74 	 Loss: 0.0006649793
Epoch 75 	 Training Loss: 0.0006687722
Validation Epoch: 75 	 Loss: 0.0006872917
Epoch 76 	 Training Loss: 0.0006508129
Validation Epoch: 76 	 Loss: 0.0006657573
Epoch 77 	 Training Loss: 0.0006696073
Validation Epoch: 77 	 Loss: 0.0007084986
Epoch 78 	 Training Loss: 0.0006015861
Validation Epoch: 78 	 Loss: 0.0006331608
Epoch 79 	 Training Loss: 0.0006425315
Validation Epoch: 79 	 Loss: 0.0006880082
Epoch 80 	 Training Loss: 0.0006429438
Validation Epoch: 80 	 Loss: 0.0006303566
Epoch 81 	 Training Loss: 0.0006116538
Validation Epoch: 81 	 Loss: 0.0006065929
Epoch 82 	 Training Loss: 0.0005896714
Validation Epoch: 82 	 Loss: 0.0006181551
Epoch 83 	 Training Loss: 0.0006063031
Validation Epoch: 83 	 Loss: 0.0006219636
Epoch 84 	 Training Loss: 0.0005772747
Validation Epoch: 84 	 Loss: 0.0005673494
Epoch 85 	 Training Loss: 0.0005750126
Validation Epoch: 85 	 Loss: 0.0005687259
Epoch 86 	 Training Loss: 0.0005678989
Validation Epoch: 86 	 Loss: 0.0006056775
Epoch 87 	 Training Loss: 0.0005778054
Validation Epoch: 87 	 Loss: 0.0005278820
Epoch 88 	 Training Loss: 0.0005520502
Validation Epoch: 88 	 Loss: 0.0005157776
Epoch 89 	 Training Loss: 0.0005525432
Validation Epoch: 89 	 Loss: 0.0005593037
Epoch 90 	 Training Loss: 0.0005285642
Validation Epoch: 90 	 Loss: 0.0005308341
Epoch 91 	 Training Loss: 0.0005222316
Validation Epoch: 91 	 Loss: 0.0005125749
Epoch 92 	 Training Loss: 0.0005257007
Validation Epoch: 92 	 Loss: 0.0005368203
Epoch 93 	 Training Loss: 0.0005306296
Validation Epoch: 93 	 Loss: 0.0004967620
Epoch 94 	 Training Loss: 0.0005069578
Validation Epoch: 94 	 Loss: 0.0004656887
Epoch 95 	 Training Loss: 0.0004950778
Validation Epoch: 95 	 Loss: 0.0004621229
Epoch 96 	 Training Loss: 0.0004721089
Validation Epoch: 96 	 Loss: 0.0004550087
Epoch 97 	 Training Loss: 0.0004710825
Validation Epoch: 97 	 Loss: 0.0004655718
Epoch 98 	 Training Loss: 0.0004711124
Validation Epoch: 98 	 Loss: 0.0004684194
Epoch 99 	 Training Loss: 0.0004539643
Validation Epoch: 99 	 Loss: 0.0004354753
Epoch 100 	 Training Loss: 0.0004451292
Validation Epoch: 100 	 Loss: 0.0004835773
