Epoch 1 	 Training Loss: 56.0459638557
Epoch 89 	 Training Loss: 0.0009908573
Validation Epoch: 89 	 Loss: 0.0010718391
Epoch 90 	 Training Loss: 0.0009513064
Validation Epoch: 90 	 Loss: 0.0011152783
Epoch 91 	 Training Loss: 0.0008780692
Validation Epoch: 91 	 Loss: 0.0009276530
Epoch 92 	 Training Loss: 0.0008396094
Validation Epoch: 92 	 Loss: 0.0008979951
Epoch 93 	 Training Loss: 0.0007659736
Validation Epoch: 93 	 Loss: 0.0007342304
Epoch 94 	 Training Loss: 0.0008049562
Validation Epoch: 94 	 Loss: 0.0010093190
Epoch 95 	 Training Loss: 0.0007295017
Validation Epoch: 95 	 Loss: 0.0007214952
Epoch 96 	 Training Loss: 0.0007298161
Validation Epoch: 96 	 Loss: 0.0007993996
Epoch 97 	 Training Loss: 0.0007093712
Validation Epoch: 97 	 Loss: 0.0007884285
Epoch 98 	 Training Loss: 0.0006281692
Validation Epoch: 98 	 Loss: 0.0007921914
Epoch 99 	 Training Loss: 0.0006401606
Validation Epoch: 99 	 Loss: 0.0006692215
Epoch 100 	 Training Loss: 0.0005836968
Validation Epoch: 100 	 Loss: 0.0006247759
